id,city_name,region_name
643,Нижняя Салда,Свердловская область
644,Нижняя Тура,Свердловская область
645,Николаевск,Волгоградская область
646,Николаевск-на-Амуре,Хабаровский край
647,Никольск,Вологодская область
648,Никольск,Пензенская область
649,Никольское,Ленинградская область
650,Новая Ладога,Ленинградская область
651,Новая Ляля,Свердловская область
652,Новоалександровск,Ставропольский край
653,Новоалтайск,Алтайский край
654,Новоаннинский,Волгоградская область
655,Нововоронеж,Воронежская область
656,Новодвинск,Архангельская область
657,Новозыбков,Брянская область
658,Новокубанск,Краснодарский край
659,Новокузнецк,Кемеровская область
660,Новокуйбышевск,Самарская область
661,Новомичуринск,Рязанская область
662,Новомосковск,Тульская область
663,Новопавловск,Ставропольский край
664,Новоржев,Псковская область
665,Новороссийск,Краснодарский край
666,Новосибирск,Новосибирская область
667,Новосиль,Орловская область
668,Новосокольники,Псковская область
669,Новотроицк,Оренбургская область
670,Новоузенск,Саратовская область
671,Новоульяновск,Ульяновская область
672,Новоуральск,Свердловская область
673,Новохопёрск,Воронежская область
674,Новочебоксарск,Чувашия
675,Новочеркасск,Ростовская область
676,Новошахтинск,Ростовская область
677,Новый Оскол,Белгородская область
678,Новый Уренгой,Ямало-Ненецкий АО
679,Ногинск,Московская область
680,Нолинск,Кировская область
681,Норильск,Красноярский край
682,Ноябрьск,Ямало-Ненецкий АО
683,Нурлат,Татарстан
684,Нытва,Пермский край
685,Нюрба,Якутия
686,Нягань,Ханты-Мансийский АО
687,Нязепетровск,Челябинская область
688,Няндома,Архангельская область
689,Облучье,Еврейская АО
690,Обнинск,Калужская область
691,Обоянь,Курская область
692,Обь,Новосибирская область
693,Одинцово,Московская область
694,Озёрск,Калининградская область
695,Озёрск,Челябинская область
696,Озёры,Московская область
697,Ойсхара,Чечня
698,Октябрьск,Самарская область
699,Октябрьский,Башкортостан
700,Окуловка,Новгородская область
701,Олёкминск,Якутия
702,Оленегорск,Мурманская область
703,Олонец,Карелия
704,Омск,Омская область
705,Омутнинск,Кировская область
706,Онега,Архангельская область
707,Опочка,Псковская область
708,Орёл,Орловская область
709,Оренбург,Оренбургская область
710,Орехово-Зуево,Московская область
711,Орлов,Кировская область
712,Орск,Оренбургская область
713,Оса,Пермский край
714,Осинники,Кемеровская область
715,Осташков,Тверская область
716,Остров,Псковская область
717,Островной,Мурманская область
718,Острогожск,Воронежская область
719,Отрадное,Ленинградская область
720,Отрадный,Самарская область
721,Оха,Сахалинская область
722,Оханск,Пермский край
723,Очёр,Пермский край
724,Павлово,Нижегородская область
725,Павловск,Воронежская область
726,Павловский Посад,Московская область
727,Палласовка,Волгоградская область
728,Партизанск,Приморский край
729,Певек,Чукотский АО
730,Пенза,Пензенская область
731,Первомайск,Нижегородская область
732,Первоуральск,Свердловская область
733,Перевоз,Нижегородская область
734,Пересвет,Московская область
735,Переславль-Залесский,Ярославская область
736,Пермь,Пермский край
737,Пестово,Новгородская область
738,Петров Вал,Волгоградская область
739,Петровск,Саратовская область
740,Петровск-Забайкальский,Забайкальский край
741,Петрозаводск,Карелия
742,Петропавловск-Камчатский,Камчатский край
743,Петухово,Курганская область
744,Петушки,Владимирская область
745,Печора,Коми
746,Печоры,Псковская область
747,Пикалёво,Ленинградская область
748,Пионерский,Калининградская область
749,Питкяранта,Карелия
750,Плавск,Тульская область
751,Пласт,Челябинская область
752,Плёс,Ивановская область
